,EU27,EU6,EU9,EU10,EU12,EU15,EU25,FI/ AT / SE,NEM10,NEM12,NEM13,NON EURO,EURO ZONE,EU largest 6,TR+MK+ME+RS+AL,EFTA: IS+NO+CH,US,ALL
lack_of_demand_for_resource_efficient_products_or_services,2175.0,414.0,683.0,779.0,1052.0,1312.0,2072.0,266.0,739.0,960.0,1029.0,654.0,1529.0,614.0,412.0,245.0,113.0,3218.0
lack_of_demand_for_resource_efficient_products_or_services_percentage,18.0,14.8,16.7,16.9,18.6,18.6,18.6,19.4,18.5,19.6,19.4,20.6,17.2,19.7,30.9,23.8,25.3,20.8
complexity_associated_with_environmental_labelling_and_certification,2462.0,588.0,818.0,940.0,1190.0,1465.0,2244.0,249.0,698.0,870.0,936.0,581.0,1867.0,695.0,377.0,245.0,70.0,3133.0
complexity_associated_with_environmental_labelling_and_certification_percentage,20.4,21.0,20.0,20.4,21.0,20.8,20.1,18.3,17.5,17.8,17.6,18.3,21.1,22.3,28.3,23.7,15.7,20.2
complex_environmental_reporting_requirements,3154.0,712.0,968.0,1100.0,1461.0,1785.0,2830.0,270.0,1024.0,1230.0,1323.0,799.0,2345.0,905.0,334.0,280.0,68.0,3700.0
complex_environmental_reporting_requirements_percentage,26.1,25.4,23.7,23.9,25.7,25.3,25.4,19.8,25.7,25.2,24.9,25.2,26.4,29.0,25.0,27.1,15.3,23.9
other_do_not_read_out_,169.0,46.0,61.0,65.0,75.0,90.0,147.0,10.0,58.0,66.0,73.0,37.0,131.0,48.0,3.0,11.0,0.0,161.0
other_do_not_read_out__percentage,1.4,1.7,1.5,1.4,1.3,1.3,1.3,0.7,1.4,1.3,1.4,1.2,1.5,1.5,0.2,1.1,0.0,1.0
none_do_not_read_out_,3167.0,799.0,1163.0,1318.0,1518.0,1897.0,2966.0,396.0,1013.0,1238.0,1355.0,768.0,2384.0,710.0,409.0,253.0,177.0,4437.0
none_do_not_read_out__percentage,26.2,28.5,28.4,28.6,26.8,26.9,26.6,29.0,25.4,25.3,25.5,24.2,26.9,22.7,30.7,24.5,39.6,28.6
don_t_know_no_answer,306.0,63.0,87.0,94.0,137.0,173.0,263.0,41.0,79.0,99.0,113.0,75.0,229.0,75.0,26.0,46.0,19.0,404.0
don_t_know_no_answer_percentage,2.5,2.2,2.1,2.0,2.4,2.5,2.4,3.0,2.0,2.0,2.1,2.4,2.6,2.4,1.9,4.4,4.2,2.6
