file_code,group_id,country_code,score,group_weight,weighted_score,scaled_score
N2,2,US,1.2421428571428572,0.5,0.6210714285714286,2.1273926404804957
N3,2,AL,0.8789999999999999,0.5,0.43949999999999995,1.7960187234905451
N3,2,AT,5.032000000000001,0.5,2.5160000000000005,5.585700525542018
N3,2,BE,6.3185,0.5,3.15925,6.759653243658853
N3,2,BG,4.9125,0.5,2.45625,5.476654781418455
N3,2,CH,3.9215,0.5,1.96075,4.572350744377038
N3,2,CY,1.938,0.5,0.969,2.7623738952633623
N3,2,CZ,5.687,0.5,2.8435,6.183398955675346
N3,2,DE,4.9905,0.5,2.49525,5.547831083022119
N3,2,DK,3.9495,0.5,1.97475,4.597901211619378
N3,2,EE,3.7975,0.5,1.89875,4.459198675160957
N3,2,EL,4.767,0.5,2.3835,5.343883603427007
N3,2,ES,5.178,0.5,2.589,5.71892796187708
N3,2,FI,4.3975,0.5,2.19875,5.006708687496831
N3,2,FR,5.6065,0.5,2.80325,6.109941362353616
N3,2,HR,3.6175,0.5,1.80875,4.294945671460195
N3,2,HU,3.3620000000000005,0.5,1.6810000000000003,4.061797657873836
N3,2,IE,5.4075,0.5,2.70375,5.9283505415955515
N3,2,IS,2.455,0.5,1.2275,3.23414502255944
N3,2,IT,4.475,0.5,2.2375,5.077428730756881
N3,2,LT,3.8715,0.5,1.93575,4.526724910015715
N3,2,LU,3.049,0.5,1.5245,3.776179934771955
N3,2,LV,3.4795000000000003,0.5,1.7397500000000001,4.169018368622945
N3,2,MD,1.0265,0.5,0.51325,1.9306149348564474
N3,2,ME,0.7715,0.5,0.38575,1.697923179613701
N3,2,MK,4.346,0.5,2.173,4.9597140781046685
N3,2,MT,2.872,0.5,1.436,3.614664481132872
N3,2,NL,6.5745000000000005,0.5,3.2872500000000002,6.993257515588827
N3,2,NO,6.1435,0.5,3.07175,6.599962823394224
N3,2,PL,4.4015,0.5,2.20075,5.010358754245737
N3,2,PT,6.7265,0.5,3.36325,7.131960052047247
N3,2,RO,5.8745,0.5,2.93725,6.354495834530307
N3,2,RS,5.1205,0.5,2.56025,5.666458252361559
N3,2,SE,4.219500000000001,0.5,2.1097500000000005,4.844280717170522
N3,2,SI,3.806,0.5,1.903,4.466955067002383
N3,2,SK,3.835,0.5,1.9175,4.4934180509319495
N3,2,TR,5.653499999999999,0.5,2.8267499999999997,6.1528296466532595
N3,2,UK,4.2829999999999995,0.5,2.1414999999999997,4.902225526809401
N3,2,US,4.523999999999999,0.5,2.2619999999999996,5.122142048430977
