criteria,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
cost_of_environmental_actions,Q7,3373.0,142.0,109.0,131.0,156.0,157.0,59.0,111.0,180.0,263.0,182.0,63.0,90.0,75.0,84.0,108.0,53.0,85.0,31.0,95.0,133.0,113.0,68.0,101.0,89.0,127.0,116.0,139.0,109.0,42.0,194.0,134.0,3.0,11.0,32.0,0.0,80.0,134.0,106.0
cost_of_environmental_actions_percentage,Q7,28.0,27.8,25.5,26.0,39.4,31.1,14.4,24.8,36.6,47.3,36.0,15.2,17.4,34.7,23.1,24.2,22.2,22.9,13.0,17.8,29.9,22.8,14.0,20.8,24.7,27.0,26.3,28.5,25.5,20.5,47.0,32.7,3.8,15.8,11.6,0.8,22.0,35.1,23.7
lack_of_specific_environmental_expertise,Q7,2873.0,122.0,108.0,103.0,80.0,111.0,41.0,44.0,122.0,255.0,143.0,66.0,80.0,42.0,68.0,137.0,37.0,38.0,36.0,107.0,120.0,150.0,44.0,98.0,68.0,66.0,64.0,74.0,72.0,35.0,119.0,70.0,3.0,11.0,28.0,3.0,75.0,120.0,80.0
lack_of_specific_environmental_expertise_percentage,Q7,23.8,23.9,25.5,20.4,20.4,21.9,10.0,9.9,24.8,45.8,28.2,16.0,15.4,19.6,18.7,30.7,15.6,10.3,15.4,20.1,27.0,30.2,8.9,20.2,18.8,14.0,14.7,15.3,16.7,17.3,28.7,17.1,3.8,15.0,10.1,5.8,20.7,31.4,18.0
lack_of_supply_of_required_materials_parts_products_or_services,Q7,2390.0,115.0,76.0,112.0,64.0,117.0,46.0,98.0,115.0,179.0,108.0,46.0,54.0,36.0,50.0,83.0,71.0,40.0,45.0,78.0,81.0,107.0,87.0,100.0,48.0,82.0,92.0,91.0,114.0,38.0,76.0,86.0,5.0,7.0,23.0,4.0,64.0,129.0,130.0
lack_of_supply_of_required_materials_parts_products_or_services_percentage,Q7,19.8,22.4,17.9,22.2,16.1,23.2,11.2,21.8,23.4,32.1,21.3,11.2,10.4,16.7,13.8,18.5,29.4,10.9,19.2,14.6,18.1,21.6,17.9,20.5,13.2,17.5,21.0,18.7,26.7,18.6,18.3,20.8,6.5,10.0,8.4,7.2,17.5,33.6,29.0
lack_of_demand_for_resource_efficient_products_or_services,Q7,2175.0,110.0,102.0,111.0,84.0,88.0,61.0,53.0,107.0,166.0,111.0,40.0,47.0,26.0,51.0,63.0,40.0,21.0,29.0,33.0,118.0,112.0,56.0,122.0,26.0,85.0,50.0,92.0,117.0,36.0,111.0,77.0,3.0,10.0,33.0,0.0,49.0,126.0,113.0
lack_of_demand_for_resource_efficient_products_or_services_percentage,Q7,18.0,21.5,24.1,22.2,21.2,17.5,14.7,11.8,21.7,29.8,22.0,9.8,9.1,12.0,14.1,14.1,16.7,5.7,12.1,6.2,26.6,22.5,11.4,25.1,7.1,18.1,11.3,18.8,27.4,17.5,26.8,18.8,4.5,14.9,12.2,0.8,13.6,33.0,25.3
complexity_associated_with_environmental_labelling_and_certification,Q7,2462.0,128.0,73.0,89.0,94.0,151.0,44.0,27.0,141.0,153.0,117.0,45.0,76.0,51.0,27.0,103.0,34.0,38.0,15.0,90.0,67.0,99.0,48.0,98.0,49.0,83.0,97.0,89.0,68.0,51.0,111.0,70.0,13.0,12.0,15.0,0.0,37.0,115.0,70.0
complexity_associated_with_environmental_labelling_and_certification_percentage,Q7,20.4,25.0,17.1,17.7,23.9,29.9,10.8,6.0,28.7,27.4,23.1,10.9,14.8,23.5,7.4,23.0,14.0,10.3,6.3,16.9,15.1,19.9,9.7,20.1,13.5,17.8,22.1,18.4,16.0,25.3,26.8,17.1,17.5,17.7,5.6,0.7,10.1,30.2,15.7
complex_environmental_reporting_requirements,Q7,3154.0,140.0,92.0,173.0,104.0,169.0,49.0,66.0,140.0,220.0,149.0,62.0,116.0,49.0,65.0,152.0,13.0,65.0,24.0,65.0,49.0,117.0,69.0,113.0,63.0,137.0,88.0,125.0,64.0,49.0,134.0,68.0,8.0,5.0,36.0,1.0,67.0,100.0,68.0
complex_environmental_reporting_requirements_percentage,Q7,26.1,27.4,21.7,34.4,26.3,33.4,11.9,14.8,28.5,39.6,29.4,14.9,22.4,22.6,17.9,34.0,5.3,17.5,10.0,12.2,11.1,23.6,14.1,23.2,17.3,29.1,20.1,25.6,14.9,24.1,32.5,16.5,10.5,7.3,13.3,1.3,18.6,26.2,15.3
other_do_not_read_out_,Q7,169.0,0.0,12.0,1.0,15.0,21.0,1.0,8.0,1.0,0.0,2.0,10.0,12.0,0.0,3.0,4.0,5.0,7.0,18.0,0.0,9.0,8.0,19.0,0.0,30.0,6.0,1.0,1.0,1.0,0.0,5.0,4.0,0.0,8.0,25.0,0.0,3.0,0.0,0.0
other_do_not_read_out__percentage,Q7,1.4,0.1,2.7,0.2,3.7,4.3,0.3,1.7,0.2,0.0,0.3,2.4,2.3,0.0,0.7,0.9,2.2,1.8,7.6,0.0,2.0,1.7,3.9,0.0,8.4,1.3,0.2,0.1,0.2,0.1,1.3,1.0,0.1,11.9,9.1,0.3,0.9,0.0,0.0
none_do_not_read_out_,Q7,3167.0,147.0,92.0,122.0,111.0,141.0,210.0,46.0,161.0,100.0,68.0,132.0,176.0,83.0,152.0,179.0,47.0,143.0,88.0,257.0,78.0,80.0,103.0,128.0,130.0,138.0,151.0,166.0,130.0,64.0,92.0,115.0,30.0,18.0,101.0,25.0,94.0,116.0,177.0
none_do_not_read_out__percentage,Q7,26.2,28.9,21.7,24.3,28.1,27.8,51.0,10.3,32.7,18.0,13.5,32.0,34.2,38.8,42.0,39.9,19.6,38.4,37.0,48.3,17.7,16.0,21.0,26.4,35.9,29.5,34.3,34.0,30.5,31.2,22.2,28.1,39.7,26.0,37.2,50.2,25.9,30.4,39.6
don_t_know_no_answer,Q7,306.0,7.0,11.0,5.0,22.0,14.0,12.0,24.0,2.0,14.0,20.0,23.0,6.0,2.0,7.0,1.0,21.0,18.0,6.0,3.0,11.0,8.0,46.0,10.0,0.0,15.0,10.0,18.0,3.0,26.0,12.0,25.0,3.0,7.0,13.0,4.0,16.0,6.0,19.0
don_t_know_no_answer_percentage,Q7,2.5,1.4,2.7,1.0,5.6,2.7,2.8,5.3,0.4,2.5,3.9,5.5,1.2,0.9,1.9,0.3,8.7,4.7,2.7,0.6,2.5,1.7,9.4,2.0,0.1,3.1,2.3,3.7,0.6,12.8,2.8,6.0,3.3,10.1,4.6,9.0,4.5,1.6,4.2
