,file_code,EU27,BE,BG,CZ,DK,DE,EE,IE,EL,ES,FR,HR,IT,CY,LV,LT,LU,HU,MT,NL,AT,PL,PT,RO,SI,SK,FI,SE,UK,IS,NO,CH,ME,MD,MK,AL,RS,TR,US
more_than_250_000_to_500_000_euro,SCR14,1962.0,91.0,24.0,72.0,47.0,54.0,65.0,62.0,109.0,107.0,152.0,70.0,56.0,30.0,68.0,56.0,41.0,64.0,53.0,94.0,48.0,77.0,48.0,39.0,50.0,52.0,40.0,70.0,55.0,25.0,39.0,41.0,10.0,2.0,12.0,3.0,53.0,53.0,30.0
more_than_250_000_to_500_000_euro_percentage,SCR14,15.0,16.8,5.1,13.2,10.7,9.5,13.1,13.0,19.2,18.9,28.0,14.2,10.2,12.1,13.6,11.4,16.2,13.7,21.2,17.0,10.6,14.0,8.8,6.6,10.9,10.6,8.5,13.1,12.6,10.3,8.4,9.1,11.0,2.2,2.3,3.3,11.4,11.6,6.4
more_than_500_000_to_2_million_euro,SCR14,2655.0,171.0,34.0,72.0,122.0,113.0,73.0,77.0,88.0,102.0,141.0,65.0,167.0,30.0,54.0,59.0,31.0,92.0,44.0,98.0,84.0,66.0,120.0,34.0,54.0,56.0,84.0,118.0,85.0,151.0,184.0,106.0,12.0,5.0,26.0,8.0,48.0,45.0,103.0
more_than_500_000_to_2_million_euro_percentage,SCR14,20.2,31.4,7.1,13.3,27.6,19.8,14.7,16.2,15.6,18.0,25.9,13.2,30.7,12.2,10.7,12.1,12.5,19.7,17.7,17.9,18.5,12.0,22.0,5.7,11.8,11.3,17.9,22.0,19.6,61.2,39.2,23.8,13.3,4.9,5.1,7.7,10.3,9.9,21.7
more_than_2_to_10_million_euro,SCR14,1029.0,51.0,10.0,17.0,62.0,55.0,20.0,35.0,39.0,48.0,35.0,21.0,71.0,3.0,21.0,15.0,27.0,29.0,5.0,57.0,41.0,18.0,38.0,10.0,32.0,14.0,36.0,70.0,35.0,36.0,84.0,73.0,1.0,1.0,7.0,4.0,16.0,44.0,36.0
more_than_2_to_10_million_euro_percentage,SCR14,7.8,9.4,2.2,3.0,14.0,9.6,4.0,7.3,6.9,8.4,6.5,4.2,13.0,1.4,4.2,3.0,10.8,6.2,2.2,10.3,9.0,3.3,7.0,1.6,6.9,2.8,7.6,13.1,8.1,14.5,17.8,16.4,1.0,1.4,1.5,3.6,3.3,9.8,7.7
more_than_10_to_50_million_euro,SCR14,567.0,10.0,2.0,4.0,14.0,10.0,4.0,11.0,9.0,7.0,12.0,5.0,76.0,1.0,4.0,2.0,5.0,3.0,6.0,72.0,20.0,12.0,22.0,5.0,5.0,4.0,12.0,10.0,5.0,6.0,10.0,32.0,1.0,0.0,2.0,4.0,2.0,18.0,5.0
more_than_10_to_50_million_euro_percentage,SCR14,4.3,1.8,0.4,0.6,3.2,1.7,0.9,2.2,1.6,1.2,2.2,1.0,13.9,0.6,0.8,0.5,2.1,0.7,2.3,13.1,4.4,2.2,4.0,0.9,1.2,0.9,2.6,1.8,1.2,2.4,2.1,7.2,0.8,0.2,0.4,3.7,0.5,4.0,1.0
more_than_50_million_euro,SCR14,87.0,3.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,6.0,0.0,0.0,10.0,4.0,7.0,7.0,1.0,0.0,0.0,3.0,9.0,9.0,1.0,6.0,11.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0
more_than_50_million_euro_percentage,SCR14,0.7,0.6,0.1,0.0,1.1,0.2,0.1,0.0,0.1,0.1,0.1,0.1,1.6,0.1,0.9,0.0,2.4,0.0,0.0,1.8,0.9,1.2,1.4,0.1,0.0,0.0,0.6,1.7,2.0,0.3,1.4,2.5,0.0,0.0,0.3,0.2,0.1,0.8,0.8
don_t_know_no_answer,SCR14,1716.0,78.0,95.0,37.0,79.0,213.0,40.0,96.0,26.0,64.0,53.0,71.0,43.0,91.0,67.0,24.0,38.0,86.0,43.0,49.0,92.0,78.0,56.0,37.0,23.0,46.0,19.0,31.0,65.0,21.0,49.0,89.0,18.0,14.0,181.0,13.0,74.0,215.0,183.0
don_t_know_no_answer_percentage,SCR14,13.1,14.5,20.1,6.9,17.9,37.4,8.1,20.2,4.5,11.3,9.7,14.4,7.8,36.8,13.3,4.8,15.1,18.4,17.5,8.8,20.3,14.2,10.3,6.3,5.0,9.3,4.1,5.8,14.9,8.4,10.5,20.1,19.4,14.8,36.3,12.2,15.7,47.4,38.5
